procedure_id,code_id,brand,market,appliance_type,code,rank,rank_basis,title,steps,diy_difficulty,est_labor_minutes,parts_cost_min,parts_cost_max,cost_currency,cost_year,source_type,source_url
279,409,Candy,UK,washer,E16,1,cost_ascending,Reset and retest,"Unplug for a few minutes, reconnect, close the door fully, and run a short test wash.",easy,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
280,409,Candy,UK,washer,E16,2,cost_ascending,Service the heating circuit,"Have the heater resistance measured and the NTC sensor tested, replacing whichever is open, shorted, or out of range, and inspect the connectors.",professional_only,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
157,181,Frigidaire,US,washer,E11,1,cost_ascending,Restore the incoming water flow,"Open both supply valves fully, straighten kinked inlet hoses, clean the inlet screens, verify household pressure, then power-cycle for one minute and retry.",easy,,,,USD,,aggregator_listing,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
158,181,Frigidaire,US,washer,E11,2,cost_ascending,Replace the inlet valve,"If fills stay slow, replace the water inlet valve assembly and check the pressure switch and its hose.",advanced,,,,USD,,aggregator_listing,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
159,184,Frigidaire,US,washer,E21,1,cost_ascending,Clear the drain hose and pump filter,"Unplug the washer, straighten and flush the drain hose, clean the pump filter behind the front panel, then run a short drain cycle.",moderate,,,,USD,,aggregator_listing,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
160,184,Frigidaire,US,washer,E21,2,cost_ascending,Replace the drain pump,"Disconnect power and water, open the access panel, check the impeller for obstructions, and replace the pump if it is jammed or dead.",advanced,,158.22,158.22,USD,2026.0,aggregator_listing,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
110,116,GE,US,dishwasher,C3,1,manufacturer_first,Reset the dishwasher,"Disconnect power for a minute or two to clear the fault code, then rerun the cycle; if it will still not drain, service is likely required.",easy,,,,USD,,manufacturer_listing,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16673
111,116,GE,US,dishwasher,C3,2,cost_ascending,Replace the drain pump,"If the unit still will not drain after a reset and the sump is clear, disconnect power and water and replace the drain pump.",advanced,,86.69,86.69,USD,2026.0,manufacturer_listing,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16673
112,123,GE,US,dishwasher,F56,1,manufacturer_first,Reset the dishwasher,"Disconnect power for a minute or two to clear the fault code, then rerun the cycle; if drainage still fails, service is likely required.",easy,,,,USD,,manufacturer_listing,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16673
179,218,GE,US,oven_range,F0,1,manufacturer_first,Reset then replace the key panel,"Switch the breaker off for a minute or two; if the code returns, the key panel needs replacement by a technician.",professional_only,,,,USD,,manufacturer_listing,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
180,219,GE,US,oven_range,F1,1,manufacturer_first,Reset then replace the key panel,"Switch the breaker off for a minute or two; if the code returns, the key panel needs replacement by a technician.",professional_only,,,,USD,,manufacturer_listing,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
181,220,GE,US,oven_range,F2,1,manufacturer_first,Reset then request service,"Switch the breaker off for a minute or two; if the over-temperature code returns, request service.",professional_only,,,,USD,,manufacturer_listing,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
182,221,GE,US,oven_range,F3,1,manufacturer_first,Reset then replace the oven sensor,"Switch the breaker off for a minute or two; if the code returns, the oven temperature sensor needs replacement.",professional_only,,,,USD,,manufacturer_listing,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
183,222,GE,US,oven_range,F350,1,manufacturer_first,Clear the fan obstruction,Reset at the breaker and clear any obstruction at the upper cooling fan; replace the fan if the code returns.,moderate,,,,USD,,manufacturer_listing,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
184,223,GE,US,oven_range,F4,1,manufacturer_first,Reset then replace the oven sensor,"Switch the breaker off for a minute or two; if the code returns, the oven temperature sensor needs replacement.",professional_only,,,,USD,,manufacturer_listing,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
185,224,GE,US,oven_range,F5,1,manufacturer_first,Reset then replace the control,"Switch the breaker off for a minute or two; if the code returns, the electronic oven control needs replacement.",professional_only,,,,USD,,manufacturer_listing,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
186,225,GE,US,oven_range,F6,1,manufacturer_first,Reset then replace the key panel,"Switch the breaker off for a minute or two; if the code returns, the key panel needs replacement by a technician.",professional_only,,,,USD,,manufacturer_listing,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
187,226,GE,US,oven_range,F7,1,manufacturer_first,Reset then replace the key panel,"Switch the breaker off for a minute or two; if the code returns, the key panel needs replacement by a technician.",professional_only,,,,USD,,manufacturer_listing,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
188,227,GE,US,oven_range,F8,1,manufacturer_first,Reset then replace the control,"Switch the breaker off for a minute or two; if the code returns, the electronic oven control needs replacement.",professional_only,,,,USD,,manufacturer_listing,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
189,228,GE,US,oven_range,F9,1,manufacturer_first,Reset then request service,"Switch the breaker off for a minute or two; if the door-lock circuit code returns, request service.",professional_only,,,,USD,,manufacturer_listing,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
193,232,GE,US,oven_range,F96,1,manufacturer_first,Reset then request service,"Switch the breaker off for a minute or two; if the code returns, an internal component needs professional replacement.",professional_only,,,,USD,,manufacturer_listing,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
194,233,GE,US,oven_range,F97,1,manufacturer_first,Reset then request service,"Switch the breaker off for a minute or two; if the code returns, an internal component needs professional replacement.",professional_only,,,,USD,,manufacturer_listing,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
190,229,GE,US,oven_range,FC,1,manufacturer_first,Reset then request service,"Switch the breaker off for a minute or two; if the door-lock circuit code returns, request service.",professional_only,,,,USD,,manufacturer_listing,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
191,230,GE,US,oven_range,FD,1,manufacturer_first,Check the probe and receptacle,"Reseat or remove the meat probe; if the code returns, the probe or its receptacle needs replacement.",moderate,,,,USD,,manufacturer_listing,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
192,231,GE,US,oven_range,FF,1,manufacturer_first,Reset then replace the control,"Switch the breaker off for a minute or two; if the code returns, the electronic oven control needs replacement.",professional_only,,,,USD,,manufacturer_listing,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
281,417,Hoover,UK,washer,E01,1,cost_ascending,Check the door and reset,"Close the door firmly until it clicks, clear debris from the seal, and disconnect power for five to ten minutes before retrying.",easy,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
282,417,Hoover,UK,washer,E01,2,cost_ascending,Replace the door lock,"If the error persists, have the interlock tested for continuity during the lock command and the door lock assembly replaced; check the control board if it continues.",professional_only,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
283,418,Hoover,UK,washer,E02,1,cost_ascending,Restore the water supply,"Confirm the supply is on with sufficient pressure, straighten the fill hose, verify flow into a bucket, and clean the inlet filters.",easy,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
284,418,Hoover,UK,washer,E02,2,cost_ascending,Replace the inlet valve,"If filling still fails, have the inlet valve coil resistance tested and the valve replaced if open-circuit or stuck; check the pressure switch and board inputs next.",professional_only,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
285,419,Hoover,UK,washer,E03,1,cost_ascending,Clear the drain filter and hose,"Unplug the machine, remove debris from the drain filter behind the lower panel, and check the rear drain hose for kinks or blockages, flushing it if needed.",moderate,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
286,419,Hoover,UK,washer,E03,2,cost_ascending,Service the drain pump,"If water still will not drain, have the impeller checked for free movement, the motor continuity measured, and the pump assembly replaced if faulty.",professional_only,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
287,421,Hoover,UK,washer,E05,1,cost_ascending,Reset and lighten the load,"Unplug for a few minutes, reduce the load, and restart a wash cycle.",easy,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
288,421,Hoover,UK,washer,E05,2,cost_ascending,Service the heating circuit,"Have the NTC sensor resistance measured against expected values and the heating element checked, replacing the faulty part.",professional_only,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/hoover-washing-machine-error-codes/
244,320,Hotpoint,UK,washer,F01,1,cost_ascending,Reset the machine,"Unplug from the mains for two to five minutes, reconnect, wait half a minute, and try a cycle.",easy,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
245,320,Hotpoint,UK,washer,F01,2,cost_ascending,Service the board and motor wiring,"Have the motor-to-board harness checked for burnt or loose pins, the motor windings tested, and the PCB (including the triac) replaced if diagnostics confirm failure.",professional_only,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
246,323,Hotpoint,UK,washer,F05,1,cost_ascending,Clear the pump filter and drain hose,"Unplug the machine, clear the pump filter and drain hose, and check the pressure-switch tube for blockage - the switch stuck on full is the usual cause.",moderate,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
247,323,Hotpoint,UK,washer,F05,2,cost_ascending,Replace the drain pump,"If the drain path and pressure tube are clear and F05 returns, disconnect power and water and replace the drain pump.",advanced,,19.49,32.49,GBP,2026.0,aggregator_listing,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
248,326,Hotpoint,UK,washer,F08,1,cost_ascending,Reset and recheck,"Unplug for a few minutes to clear transient faults, confirm hoses are connected and unkinked, then restart.",easy,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
249,326,Hotpoint,UK,washer,F08,2,cost_ascending,Service the heating circuit,"Have the heating element continuity measured, the heater relay section of the PCB inspected, and the pressure-switch wiring checked; replace whichever component fails.",professional_only,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
250,334,Hotpoint,UK,washer,F16,1,cost_ascending,Replace the door interlock,"After confirming nothing blocks the door and a reset does not clear the fault, disconnect power and replace the door interlock (the component this code attributes).",advanced,,14.49,28.1,GBP,2026.0,aggregator_listing,https://www.whitegoodshelp.co.uk/hotpoint-washing-machine-error-codes/
251,341,Indesit,UK,washer,F05,1,cost_ascending,Clear the pump filter and drain hose,"Unplug the machine, clear the pump filter and drain hose, and check the pressure-switch tube for blockage - the switch stuck on full is the usual cause.",moderate,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/indesit-washing-machine-error-codes/
252,341,Indesit,UK,washer,F05,2,cost_ascending,Replace the drain pump,"If the drain path and pressure tube are clear and F05 returns, disconnect power and water and replace the drain pump.",advanced,,19.49,32.49,GBP,2026.0,aggregator_listing,https://www.whitegoodshelp.co.uk/indesit-washing-machine-error-codes/
253,344,Indesit,UK,washer,F08,1,cost_ascending,Reset and recheck,Unplug for two to five minutes and restart a short cycle.,easy,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/indesit-washing-machine-error-codes/
254,344,Indesit,UK,washer,F08,2,cost_ascending,Service the heating circuit,"Have the heating element and NTC tested for continuity, the heater-relay section of the PCB inspected for burn marks, and the pressure-switch wiring checked.",professional_only,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/indesit-washing-machine-error-codes/
255,351,Indesit,UK,washer,F16,1,cost_ascending,Replace the door interlock,"After confirming nothing blocks the door and a reset does not clear the fault, disconnect power and replace the door interlock (the component this code attributes).",advanced,,14.49,28.1,GBP,2026.0,aggregator_listing,https://www.whitegoodshelp.co.uk/indesit-washing-machine-error-codes/
54,48,LG,US,dishwasher,BE,1,manufacturer_first,Correct detergent and leveling,"Use only dishwasher detergent, verify the unit is level front-to-back and side-to-side, and clear existing suds before restarting.",easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dishwasher-error-code-list--20150933422943
53,47,LG,US,dishwasher,E1,1,manufacturer_first,Dry out the flow switch,"Confirm the door seals fully and the unit is level, then unplug and let it dry completely so the flow switch resets.",moderate,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dishwasher-error-code-list--20150933422943
56,50,LG,US,dishwasher,FE,1,manufacturer_first,Power-cycle at the breaker,"Turn the unit off, switch the breaker off for ten seconds and back on, then start a new cycle; if the fault returns, service is required.",moderate,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dishwasher-error-code-list--20150933422943
57,51,LG,US,dishwasher,HE,1,manufacturer_first,Power-cycle at the breaker,"Turn the unit off, switch the breaker off for ten seconds and back on, then start a new cycle; if the fault returns, service is required.",moderate,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dishwasher-error-code-list--20150933422943
50,45,LG,US,dishwasher,IE,1,manufacturer_first,Verify the water supply,"Confirm the water line is connected and the supply valve is open, check pressure is adequate, and remove any kinks in the line.",easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dishwasher-error-code-list--20150933422943
55,49,LG,US,dishwasher,LE,1,manufacturer_first,Power-cycle at the breaker,"Turn the unit off, switch the breaker off for ten seconds and back on, then start a new cycle; if the fault returns, service is required.",moderate,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dishwasher-error-code-list--20150933422943
58,52,LG,US,dishwasher,NE,1,manufacturer_first,Request professional service,This vario-motor fault has no user-serviceable remedy; contact a qualified service technician.,professional_only,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dishwasher-error-code-list--20150933422943
51,46,LG,US,dishwasher,OE,1,manufacturer_first,Clear the drain,"Check the drain hose for kinks or blockage and clear it; if connected to a disposal, confirm the drain knockout plug was removed.",moderate,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dishwasher-error-code-list--20150933422943
52,46,LG,US,dishwasher,OE,2,cost_ascending,Replace the drain pump motor,"If the hose and drain path are clear and the code returns, disconnect power and water and replace the drain pump motor assembly.",advanced,,40.72,103.95,USD,2026.0,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dishwasher-error-code-list--20150933422943
59,53,LG,US,dishwasher,PF,1,manufacturer_first,Confirm dedicated power,"Ensure the dishwasher is on a dedicated fifteen-amp circuit without an extension cord, then press any panel key to clear the display after an outage.",easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dishwasher-error-code-list--20150933422943
60,54,LG,US,dishwasher,TE,1,manufacturer_first,Request professional service,This thermal fault has no user-serviceable remedy; contact a qualified service technician.,professional_only,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dishwasher-error-code-list--20150933422943
19,16,LG,US,dryer,D80,1,manufacturer_first,Clear the exhaust duct,Check for lint buildup at the rear exhaust duct and inspect the full run for crushed or kinked sections; use a professional vent-cleaning service for blockages inside walls.,moderate,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
18,15,LG,US,dryer,D90,1,manufacturer_first,Clear the exhaust duct,Check for lint buildup at the rear exhaust duct and inspect the full run for crushed or kinked sections; use a professional vent-cleaning service for blockages inside walls.,moderate,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
22,19,LG,US,dryer,DE,1,manufacturer_first,Reseat the filter and door,"Push the lint filter all the way in, clear any clothing from the door, then unplug for five seconds and retry the cycle.",easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
31,27,LG,US,dryer,E05,1,manufacturer_first,Restore steam water supply,"Check the tap is not frozen or clogged and is fully open, verify flow through the inlet hose, and clean the inlet filter.",easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
23,20,LG,US,dryer,E13,1,manufacturer_first,Clear the drain hose,"Straighten and unclog the drain hose (use only a standard LG hose), then press Start/Pause; request service if the error repeats.",easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
32,28,LG,US,dryer,E21,1,manufacturer_first,Clear the drain path,"Straighten the drain hose, check for blockages, and clean residue from the drain pump filter.",easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
24,21,LG,US,dryer,F0,1,manufacturer_first,Reseat the lint filter,Remove the lint filter and reinsert it fully into the housing; request service if the code stays.,easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
30,26,LG,US,dryer,GAS,1,manufacturer_first,Restore the gas supply,"Confirm the gas valve is fully open and the line is unkinked; contact the installer for new installations, or request service if the valve is open and the error continues.",moderate,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
25,22,LG,US,dryer,HS,1,manufacturer_first,Clean the moisture sensors,Wipe the sensor bars below the lint filter with a damp cloth and let them dry fully before the next cycle.,easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
20,17,LG,US,dryer,NP,1,manufacturer_first,Verify the power connection,"Confirm the cord is secure in a grounded 240V outlet matching the rating plate, reset the breaker for ten seconds, and have an electrician verify the voltage if the code persists.",moderate,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
26,23,LG,US,dryer,PF,1,manufacturer_first,Reset after the outage,"Unplug or trip the breaker, hold Start/Pause for five seconds while unpowered, restore power, and retry.",easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
21,18,LG,US,dryer,PS,1,manufacturer_first,Correct the terminal wiring,"Check the power-cord installation at the terminal block for reversed white and red wires, reset the breaker, and confirm a 240V connection.",professional_only,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
27,24,LG,US,dryer,TE1,1,manufacturer_first,Reset the dryer,"Unplug or trip the breaker, hold Start/Pause for five seconds while unpowered, restore power, and retry; request service if it returns.",easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
28,24,LG,US,dryer,TE1,2,cost_ascending,Replace the thermistor,"If the temperature fault returns after the reset, disconnect power and replace the thermistor assembly on the blower housing.",advanced,,22.95,53.2,USD,2026.0,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
29,25,LG,US,dryer,TE3,1,manufacturer_first,Reset the dryer,"Unplug or trip the breaker, hold Start/Pause for five seconds while unpowered, restore power, and retry; request service if it returns.",easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-dryer-error-code-list--20152310891742
163,202,LG,US,oven_range,5B,1,manufacturer_first,Exit Sabbath mode,"Press Bake, set a temperature with the plus/minus keys, press Start, then hold Clock for three seconds.",easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
164,203,LG,US,oven_range,F1,1,manufacturer_first,Clear and reset,"Press Clear/Off and retry; if the thermistor code persists, cycle the breaker for thirty seconds and request service if it returns.",easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
172,211,LG,US,oven_range,F10,1,manufacturer_first,Clear and reset the door lock,"Press Clear/Off and retry; if the locking system error persists, cycle the breaker and request service.",easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
173,212,LG,US,oven_range,F16,1,manufacturer_first,Clear and reset,"Press Clear/Off and retry; if the sensor code persists, cycle the breaker and request service.",easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
165,204,LG,US,oven_range,F2,1,manufacturer_first,Clear and reset,"Press Clear/Off and retry; if the thermistor code persists, cycle the breaker for thirty seconds and request service if it returns.",easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
166,205,LG,US,oven_range,F3,1,manufacturer_first,Reset at the breaker,"Cycle the circuit breaker (off thirty seconds, then on); request service if the key error returns.",easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
174,213,LG,US,oven_range,F33,1,manufacturer_first,Reset at the breaker,"Cycle the circuit breaker (off thirty seconds, then on); request service if the sensor error returns.",easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
167,206,LG,US,oven_range,F4,1,manufacturer_first,Clear and reset,"Press Clear/Off and retry; if the thermistor code persists, cycle the breaker for thirty seconds and request service if it returns.",easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
175,214,LG,US,oven_range,F42,1,manufacturer_first,Reset at the breaker,"Cycle the circuit breaker; if the voltage error returns, have the supply checked and request service.",moderate,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
176,215,LG,US,oven_range,F51,1,manufacturer_first,Reset at the breaker,Cycle the circuit breaker; request service if the griddle sensor error returns.,easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
177,216,LG,US,oven_range,F56,1,manufacturer_first,Reset at the breaker,Cycle the circuit breaker; request service if the griddle heating error returns.,easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
168,207,LG,US,oven_range,F6,1,manufacturer_first,Clear and reset,"Press Clear/Off and retry; if the heating error persists, cycle the breaker and request service.",easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
178,217,LG,US,oven_range,F69,1,manufacturer_first,Reset at the breaker,Cycle the circuit breaker; request service if the sous vide heating error returns.,easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
169,208,LG,US,oven_range,F7,1,manufacturer_first,Clear and reset,"Press Clear/Off and retry; if the convection fan error persists, cycle the breaker and request service.",easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
170,209,LG,US,oven_range,F8,1,manufacturer_first,Clear and reset the probe error,"Press Clear/Off and retry; reseat or remove the meat probe, cycle the breaker if it persists.",easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
171,210,LG,US,oven_range,F9,1,manufacturer_first,Clear and reset,"Press Clear/Off and retry; if the oven still fails to heat, cycle the breaker and request service.",easy,,,,USD,,manufacturer_listing,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
