brand,market,appliance_type,code,meaning,component,cause_category,severity,rank,rank_basis,title,steps,diy_difficulty,source_url
Candy,UK,washer,E08,The motor speed sensor is not reading drum speed correctly.,tachogenerator,motor,degraded,1.0,cost_ascending,Reset and lighten the load,"Disconnect power for five to fifteen minutes, reduce the load, and try a short spin cycle with the door fully latched.",easy,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E08,The motor speed sensor is not reading drum speed correctly.,tachogenerator,motor,degraded,2.0,cost_ascending,Service the motor and tachometer,"If the speed fault returns, have the tachometer output measured, worn carbon brushes replaced, and the motor windings and drive triac checked.",professional_only,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E09,A triac fault was detected on the control board.,control board triac,control_board,degraded,,,,,,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E10,A communication error occurred between control modules.,control board,communication,degraded,,,,,,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E11,A drying-circuit heater fault on washer-dryer models.,drying heater,heating,degraded,,,,,,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E12,A communication fault occurred between modules.,control board,communication,degraded,,,,,,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E13,A control board fault was detected.,control board,control_board,degraded,,,,,,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E14,A control board fault variant was detected.,control board,control_board,degraded,,,,,,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E15,A drying heater fault on washer-dryer models.,drying heater,heating,degraded,,,,,,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E16,A heating element or inverter-board fault was detected.,heating element,heating,degraded,1.0,cost_ascending,Reset and retest,"Unplug for a few minutes, reconnect, close the door fully, and run a short test wash.",easy,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E16,A heating element or inverter-board fault was detected.,heating element,heating,degraded,2.0,cost_ascending,Service the heating circuit,"Have the heater resistance measured and the NTC sensor tested, replacing whichever is open, shorted, or out of range, and inspect the connectors.",professional_only,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E17,No tacho signal: the speed sensor is not detecting drum rotation.,motor speed sensor,motor,degraded,,,,,,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E18,A control board fault was detected.,control board,control_board,degraded,,,,,,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E19,A pressure switch or level sensor fault was detected.,pressure switch,sensor,degraded,,,,,,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E20,A drain pump fault variant or pressure switch error was detected.,drain pump,drainage,degraded,,,,,,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E21,Incorrect current was detected in the motor circuit.,drive motor,motor,degraded,,,,,,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E22,A drum sensor or motor fault was detected.,drum sensor,motor,degraded,,,,,,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Frigidaire,US,dishwasher,CE,A communication or configuration fault between the control panel and main board was detected.,control board,communication,,,,,,,https://www.appliancecodehub.com/frigidaire/dishwasher/
Frigidaire,US,dishwasher,CL,The door is open or not securely closed.,door latch,door_lock,stop_failure,,,,,,https://owner.frigidaire.com/support-articles/article/1829620-dishwasher-error-code-guide
Frigidaire,US,dishwasher,HO,Heat delay or heater-on mode is active.,water heating system,informational,informational,,,,,,https://owner.frigidaire.com/support-articles/article/1829620-dishwasher-error-code-guide
Frigidaire,US,dishwasher,I10,A water inlet fault was detected during fill.,water inlet valve,water_supply,,,,,,,https://www.appliancecodehub.com/frigidaire/dishwasher/
Frigidaire,US,dishwasher,I20,The unit did not drain completely.,drain pump,drainage,stop_failure,,,,,,https://owner.frigidaire.com/support-articles/article/1829620-dishwasher-error-code-guide
Frigidaire,US,dishwasher,I30,An overflow condition was detected.,float switch,leak,,,,,,,https://www.appliancecodehub.com/frigidaire/dishwasher/
Frigidaire,US,dishwasher,I40,The filter or sump is clogged.,filter and sump,filter,degraded,,,,,,https://owner.frigidaire.com/support-articles/article/1829620-dishwasher-error-code-guide
Frigidaire,US,dishwasher,I50,A wash motor fault was detected.,motor assembly,motor,,,,,,,https://www.appliancecodehub.com/frigidaire/dishwasher/
Frigidaire,US,dishwasher,IC0,A communication fault was detected in the control electronics.,control board,communication,,,,,,,https://www.appliancecodehub.com/frigidaire/dishwasher/
Frigidaire,US,dishwasher,IF0,A water inlet fault was detected.,water inlet valve,water_supply,,,,,,,https://www.appliancecodehub.com/frigidaire/dishwasher/
Frigidaire,US,dishwasher,LO,A low water level was signaled.,pressure sensor,water_supply,,,,,,,https://www.appliancecodehub.com/frigidaire/dishwasher/
Frigidaire,US,dishwasher,LOC,The door lock indicator is active.,door latch,informational,informational,,,,,,https://owner.frigidaire.com/support-articles/article/1829620-dishwasher-error-code-guide
Frigidaire,US,dishwasher,PF,A power loss occurred.,control board,power,informational,,,,,,https://owner.frigidaire.com/support-articles/article/1829620-dishwasher-error-code-guide
Frigidaire,US,dishwasher,RA,A rinse-aid dispenser fault was detected.,rinse dispenser,dispenser,,,,,,,https://www.appliancecodehub.com/frigidaire/dishwasher/
Frigidaire,US,dishwasher,RE,A temperature probe fault was detected.,temperature sensor,sensor,,,,,,,https://www.appliancecodehub.com/frigidaire/dishwasher/
Frigidaire,US,dishwasher,TU,A turbidity sensor fault was detected.,turbidity sensor,sensor,,,,,,,https://www.appliancecodehub.com/frigidaire/dishwasher/
Frigidaire,US,dishwasher,UO,A drain fault was detected.,drain pump,drainage,,,,,,,https://www.appliancecodehub.com/frigidaire/dishwasher/
Frigidaire,US,washer,E11,The fill time is too long.,water inlet valve,water_supply,stop_failure,1.0,cost_ascending,Restore the incoming water flow,"Open both supply valves fully, straighten kinked inlet hoses, clean the inlet screens, verify household pressure, then power-cycle for one minute and retry.",easy,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
Frigidaire,US,washer,E11,The fill time is too long.,water inlet valve,water_supply,stop_failure,2.0,cost_ascending,Replace the inlet valve,"If fills stay slow, replace the water inlet valve assembly and check the pressure switch and its hose.",advanced,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
Frigidaire,US,washer,E13,A water leak in the tub or an air leak in the air bell was detected.,tub seal,leak,degraded,,,,,,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
Frigidaire,US,washer,E14,A reed switch fault was detected.,reed switch,sensor,degraded,,,,,,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
Frigidaire,US,washer,E21,Water is not pumping out fast enough.,drain pump,drainage,stop_failure,1.0,cost_ascending,Clear the drain hose and pump filter,"Unplug the washer, straighten and flush the drain hose, clean the pump filter behind the front panel, then run a short drain cycle.",moderate,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
Frigidaire,US,washer,E21,Water is not pumping out fast enough.,drain pump,drainage,stop_failure,2.0,cost_ascending,Replace the drain pump,"Disconnect power and water, open the access panel, check the impeller for obstructions, and replace the pump if it is jammed or dead.",advanced,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
Frigidaire,US,washer,E23,The drain-pump relay on the control board failed.,control board,drainage,stop_failure,,,,,,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
Frigidaire,US,washer,E31,A pressure-sensor communication failure was detected.,pressure sensor,sensor,degraded,,,,,,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
Frigidaire,US,washer,E35,The pressure sensor indicates a water overfill.,pressure sensor,water_supply,stop_failure,,,,,,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
Frigidaire,US,washer,E41,The control board reads the door switch as open.,door switch,door_lock,stop_failure,,,,,,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
Frigidaire,US,washer,E42,The door remains locked after the cycle completes.,door lock solenoid,door_lock,degraded,,,,,,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
Frigidaire,US,washer,E43,A control board fault was detected.,control board,control_board,stop_failure,,,,,,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
Frigidaire,US,washer,E47,The door PTC circuit opened during spin.,door PTC circuit,door_lock,degraded,,,,,,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
Frigidaire,US,washer,E52,A bad signal was received from the tachogenerator.,tachogenerator,sensor,degraded,,,,,,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
Frigidaire,US,washer,E55,The motor is overheating.,drive motor,motor,stop_failure,,,,,,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
Frigidaire,US,washer,E57,High current was detected on the inverter.,inverter,motor,stop_failure,,,,,,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
Frigidaire,US,washer,E5D,A communication problem was detected.,control board,communication,degraded,,,,,,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
Frigidaire,US,washer,E67,The microprocessor input voltage is incorrect.,control board,power,degraded,,,,,,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
Frigidaire,US,washer,E75,A water-temperature sensor circuit failure was detected.,temperature sensor,sensor,degraded,,,,,,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
Frigidaire,US,washer,EF1,The drain pump is clogged.,drain pump,drainage,degraded,,,,,,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
Frigidaire,US,washer,EF2,Too much detergent was used.,detergent system,suds,degraded,,,,,,https://applianceaid.com/frigidaire-frontload-washer-new-fault-codes.php
GE,US,dishwasher,999,A possible leak was detected or a control reset is needed.,leak protection system,leak,stop_failure,,,,,,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16673
GE,US,dishwasher,C1,The drain pump-out exceeded two minutes.,drain pump,drainage,degraded,,,,,,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16673
GE,US,dishwasher,C2,The total pump-out cycle exceeded seven minutes.,drain pump,drainage,degraded,,,,,,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16673
GE,US,dishwasher,C3,The dishwasher will not drain.,drain system,drainage,stop_failure,1.0,manufacturer_first,Reset the dishwasher,"Disconnect power for a minute or two to clear the fault code, then rerun the cycle; if it will still not drain, service is likely required.",easy,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16673
GE,US,dishwasher,C3,The dishwasher will not drain.,drain system,drainage,stop_failure,2.0,cost_ascending,Replace the drain pump,"If the unit still will not drain after a reset and the sump is clear, disconnect power and water and replace the drain pump.",advanced,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16673
GE,US,dishwasher,C4,"The unit refilled twice after a power loss, suggesting a stuck or failed float switch.",float switch,sensor,degraded,,,,,,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16673
GE,US,dishwasher,C5,The pump-out time was too short.,drain system,drainage,degraded,,,,,,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16673
GE,US,dishwasher,C6,The incoming water temperature is too low.,water heater,temperature,degraded,,,,,,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16673
GE,US,dishwasher,C7,The water-temperature sensor circuit is inoperative.,temperature sensor,sensor,degraded,,,,,,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16673
GE,US,dishwasher,C8,The detergent cup is blocked from opening fully.,detergent dispenser,dispenser,degraded,,,,,,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16673
GE,US,dishwasher,F56,The dishwasher failed to drain.,drain system,drainage,stop_failure,1.0,manufacturer_first,Reset the dishwasher,"Disconnect power for a minute or two to clear the fault code, then rerun the cycle; if drainage still fails, service is likely required.",easy,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16673
GE,US,dishwasher,H2O,A low incoming-water condition was detected.,water inlet,water_supply,degraded,,,,,,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16673
GE,US,dishwasher,PF,A power failure occurred.,control board,power,informational,,,,,,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16673
GE,US,dishwasher,PRS,The pressure sensor is sending an invalid signal.,pressure sensor,sensor,degraded,,,,,,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16673
GE,US,oven_range,F0,A key panel fault was detected; the panel typically needs replacement.,key panel,control_board,degraded,1.0,manufacturer_first,Reset then replace the key panel,"Switch the breaker off for a minute or two; if the code returns, the key panel needs replacement by a technician.",professional_only,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
GE,US,oven_range,F1,A key panel fault was detected; the panel typically needs replacement.,key panel,control_board,degraded,1.0,manufacturer_first,Reset then replace the key panel,"Switch the breaker off for a minute or two; if the code returns, the key panel needs replacement by a technician.",professional_only,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
GE,US,oven_range,F2,The oven temperature exceeded the preset threshold.,temperature control,temperature,stop_failure,1.0,manufacturer_first,Reset then request service,"Switch the breaker off for a minute or two; if the over-temperature code returns, request service.",professional_only,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
GE,US,oven_range,F3,The oven temperature sensor needs replacement.,oven sensor,sensor,degraded,1.0,manufacturer_first,Reset then replace the oven sensor,"Switch the breaker off for a minute or two; if the code returns, the oven temperature sensor needs replacement.",professional_only,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
GE,US,oven_range,F350,The upper cooling fan circuit is faulty or obstructed.,cooling fan,fan,degraded,1.0,manufacturer_first,Clear the fan obstruction,Reset at the breaker and clear any obstruction at the upper cooling fan; replace the fan if the code returns.,moderate,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
GE,US,oven_range,F4,The oven temperature sensor needs replacement.,oven sensor,sensor,degraded,1.0,manufacturer_first,Reset then replace the oven sensor,"Switch the breaker off for a minute or two; if the code returns, the oven temperature sensor needs replacement.",professional_only,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
GE,US,oven_range,F5,The electronic oven control needs replacement.,electronic control,control_board,stop_failure,1.0,manufacturer_first,Reset then replace the control,"Switch the breaker off for a minute or two; if the code returns, the electronic oven control needs replacement.",professional_only,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
GE,US,oven_range,F6,A key panel fault was detected; the panel typically needs replacement.,key panel,control_board,degraded,1.0,manufacturer_first,Reset then replace the key panel,"Switch the breaker off for a minute or two; if the code returns, the key panel needs replacement by a technician.",professional_only,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
GE,US,oven_range,F7,A key panel fault was detected; the panel typically needs replacement.,key panel,control_board,degraded,1.0,manufacturer_first,Reset then replace the key panel,"Switch the breaker off for a minute or two; if the code returns, the key panel needs replacement by a technician.",professional_only,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
GE,US,oven_range,F8,The electronic oven control needs replacement.,electronic control,control_board,stop_failure,1.0,manufacturer_first,Reset then replace the control,"Switch the breaker off for a minute or two; if the code returns, the electronic oven control needs replacement.",professional_only,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
GE,US,oven_range,F9,A component in the door lock circuit failed.,door lock circuit,door_lock,stop_failure,1.0,manufacturer_first,Reset then request service,"Switch the breaker off for a minute or two; if the door-lock circuit code returns, request service.",professional_only,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
GE,US,oven_range,F96,An internal component needs replacement.,internal component,control_board,degraded,1.0,manufacturer_first,Reset then request service,"Switch the breaker off for a minute or two; if the code returns, an internal component needs professional replacement.",professional_only,https://products.geappliances.com/appliance/gea-support-search-content?contentId=16238
